pid,name,age,height,weight,gp,pts,reb,ast,net_rating,season
3790,Fred VanVleet,26,185.42,89.357624,54,17.6,3.8,6.6,4.8,2019-20
3797,Furkan Korkmaz,22,200.66,91.625584,72,9.8,2.3,1.1,2.7,2019-20
3800,Gabe Vincent,24,190.5,90.7184,9,2.4,0.6,0.7,-15.9,2019-20
3806,Garrett Temple,34,195.58,88.45044,62,10.3,3.5,2.5,-1.4,2019-20
3810,Garrison Mathews,23,195.58,97.52228,18,5.4,1.3,0.6,7.1,2019-20
3813,Gary Clark,25,198.12,102.0582,42,3.7,2.6,0.4,-5.1,2019-20
3816,Gary Harris,25,193.04,95.25432,56,10.4,2.9,2.1,3.4,2019-20
3819,Gary Payton II,27,190.5,88.45044,29,3.9,2.8,1.7,-14.3,2019-20
3823,Gary Trent Jr.,21,195.58,94.800728,61,8.9,1.6,1,-1.4,2019-20
3826,George Hill,34,190.5,85.275296,59,9.4,3,3.1,10.6,2019-20
3829,Georges Niang,27,200.66,104.32616,66,5.9,1.9,0.7,-1.1,2019-20
3832,Giannis Antetokounmpo,25,210.82,109.769264,63,29.5,13.6,5.6,15.4,2019-20
3836,Glenn Robinson III,26,198.12,100.697424,62,11.7,4.4,1.5,-7.8,2019-20
3839,Goga Bitadze,20,210.82,113.398,54,3.2,2,0.4,-1.4,2019-20
3842,Goran Dragic,34,190.5,86.18248,59,16.2,3.2,5.1,3.5,2019-20
3846,Gordon Hayward,30,200.66,102.0582,52,17.5,6.7,4.1,8.5,2019-20
3849,Gorgui Dieng,30,208.28,114.305184,63,7.4,5.6,1.2,-3.6,2019-20
3855,Grant Williams,21,198.12,107.047712,69,3.4,2.6,1,6.3,2019-20
3859,Grayson Allen,24,193.04,89.811216,38,8.7,2.2,1.4,-6,2019-20
3865,Hamidou Diallo,21,195.58,91.625584,46,6.9,3.6,0.8,0.9,2019-20
3868,Harrison Barnes,28,203.2,102.0582,72,14.5,4.9,2.2,-2.5,2019-20
3872,Harry Giles III,22,210.82,108.86208,46,6.9,4.1,1.3,-8.2,2019-20
3875,Hassan Whiteside,31,213.36,120.20188,67,15.5,13.5,1.2,2.7,2019-20
3878,Henry Ellenson,23,208.28,108.86208,5,0.4,1.2,0.2,27.3,2019-20
3881,Ian Mahinmi,33,210.82,118.841104,38,7.4,5.7,1.3,-4.5,2019-20
3885,Ignas Brazdeikis,21,198.12,100.243832,9,1.9,0.6,0.4,-7.1,2019-20
3888,Iman Shumpert,30,195.58,96.161504,13,4.2,2.6,0.9,-9,2019-20
3895,Isaac Bonga,20,203.2,81.64656,66,5,3.4,1.2,-0.4,2019-20
3901,Isaiah Hartenstein,22,213.36,113.398,23,4.7,3.9,0.8,8.7,2019-20
3787,Frank Ntilikina,21,193.04,90.7184,57,6.3,2.1,3,-3.9,2019-20
3908,Isaiah Roby,22,203.2,104.32616,3,0,0.7,0,-11.5,2019-20
3784,Frank Mason,26,180.34,86.18248,9,6.9,2.1,3.2,-1.8,2019-20
3777,Frank Jackson,22,190.5,92.98636,59,6.3,1.4,1,-3.4,2019-20
3669,Domantas Sabonis,24,210.82,108.86208,62,18.5,12.4,5,3.1,2019-20
3672,Donovan Mitchell,23,185.42,97.52228,69,24,4.4,4.3,2.6,2019-20
3676,Donta Hall,22,205.74,103.872568,9,4.3,4.2,0.4,-12,2019-20
3679,Donte DiVincenzo,23,193.04,92.079176,66,9.2,4.8,2.3,12.2,2019-20
3682,Dorian Finney-Smith,27,200.66,99.79024,71,9.5,5.7,1.6,6.5,2019-20
3686,Doug McDermott,28,200.66,102.0582,69,10.3,2.5,1.1,3.2,2019-20
3689,Dragan Bender,22,213.36,112.944408,16,6.7,4.6,1.8,1.1,2019-20
3692,Draymond Green,30,198.12,104.32616,43,8,6.2,6.2,-7.2,2019-20
3695,Drew Eubanks,23,205.74,111.13004,22,4.9,3.9,0.7,-11,2019-20
3699,Duncan Robinson,26,200.66,97.52228,73,13.5,3.2,1.4,7.5,2019-20
3702,Dusty Hannahs,26,190.5,95.25432,2,6,0.5,0,17.2,2019-20
3705,Dwayne Bacon,24,198.12,100.243832,39,5.7,2.6,1.3,-8.2,2019-20
3708,Dwight Howard,34,208.28,120.20188,69,7.5,7.3,0.7,5.9,2019-20
3712,Dwight Powell,28,208.28,108.86208,40,9.4,5.7,1.5,8.9,2019-20
3718,Dzanan Musa,21,205.74,98.429464,40,4.8,2.2,1.1,-2.5,2019-20
3721,E'Twaun Moore,31,190.5,86.636072,56,8.3,2.3,1.4,-2.2,2019-20
3725,Ed Davis,31,205.74,98.883056,28,1.8,3.8,0.4,-15.2,2019-20
3728,Edmond Sumner,24,193.04,88.904032,31,4.9,1.5,1.8,-2.6,2019-20
